city_code,latitude,longitude
alboussiere,44.939786813,4.7345559470000005
albussac,45.141223861,1.814019768
alby sur cheran,45.815673511,6.016021901
alcay alcabehety sunharette,43.086619598,-0.976697306
aldudes,43.091972616,-1.434551954
alembon,50.780685084,1.87181552
alencon,48.431517633,0.091615677
alenya,42.640886096,2.98154834
aleria,42.106115829,9.49592506
ales,44.125130044,4.088567807
alet les bains,42.99419784,2.258684791
alette,50.523928746,1.850225596
aleu,42.894162766,1.267264749
alex,45.881011742,6.236291245
alexain,48.232200671,-0.704183081
aleyrac,44.499150841,4.946083614
alfortville,48.796134091,2.421407444
algajola,42.604789177,8.8573027
algans,43.599929423,1.891469884
algolsheim,48.003216164,7.550155226
algrange,49.364724852,6.047828116
alieze,46.585078016,5.58585556
alignan du vent,43.468872961,3.33962295
alincourt,49.402944699,4.345179699
alincthun,50.720812476,1.810489452
alise ste reine,47.535583539,4.488200641
alissas,44.706875383,4.623882131
alix,45.917088276,4.653774018
alixan,44.98219132,5.0170743
alizay,49.322053211,1.178381905
allain,48.549707126,5.920865048
allaines,49.963113198,2.937373824
allainville,48.720985482,1.29440409
allainville aux bois,48.467503784,1.902700771
allaire,47.639321756,-2.177336284
allamont,49.128601409,5.776906466
allamps,48.548705186,5.814884818
allan,44.494772796,4.798705608
allanche,45.231281197,2.953694537
alland huy et sausseuil,49.512260939,4.549472452
allarmont,48.468981824,7.02064601
allas bocage,45.38279089,-0.497653886
allas champagne,45.472277211,-0.339662889
allas les mines,44.82822667,1.074098936
allassac,45.255838761,1.469444198
allauch,43.353259041,5.5113703560000005
allegre,45.188928722,3.690406683
allegre les fumades,44.197410121,4.253634425
alleins,43.707442219,5.151455
allemagne en provence,43.78872288,6.030340492
allemanche launay et soyer,48.60649033,3.791242066
allemans,45.288011887,0.304900309
allemans du dropt,44.623398655,0.286349554
allemant,48.761492945,3.816528913
allemond,45.170477324,6.017771539
allenay,50.086508782,1.492446069
allenc,44.552035798,3.676554379
allenjoie,47.535796969,6.894147008
allennes les marais,50.541448519,2.9482816730000003
allerey,47.19024207,4.420607175
allerey sur saone,46.913836137,4.974271043
alleriot,46.799158728,4.9552235190000005
allery,49.959286214,1.88534342
alles sur dordogne,44.861916562,0.8747911410000001
alleuze,44.959742143,3.098247339
allevard,45.380219092,6.11347007
alleves,45.758963756,6.085941841
